Epoch,Train_Loss,Train_Dice,Val_Loss,Val_Dice,Duration_sec,CPU_Time_sec,Peak_RAM_MB
1,0.7290,0.1742,0.6784,0.3019,4310.77,16003.59,717.70
2,0.6460,0.2888,0.6171,0.3944,4261.50,15829.44,746.27
3,0.5908,0.3250,0.5731,0.4368,4263.22,15832.90,747.45
4,0.5475,0.3668,0.5381,0.4710,4249.78,15785.18,764.45
5,0.5104,0.5356,0.5086,0.5071,4246.97,15773.50,757.70
6,0.4773,0.6425,0.4819,0.4973,4264.40,15837.38,755.72
7,0.4471,0.6903,0.4670,0.5072,4256.16,15805.35,765.95
8,0.4185,0.7319,0.4407,0.5023,4275.64,15878.11,744.20
9,0.3944,0.6923,0.4275,0.5154,4274.93,15879.43,758.69
10,0.3698,0.7358,0.4188,0.4955,4261.21,15829.18,767.19
11,0.3503,0.7457,0.4146,0.4987,4278.85,15893.93,749.89
12,0.3348,0.7664,0.4051,0.5070,4271.60,15863.41,767.47
13,0.3231,0.7748,0.3949,0.5133,4259.74,15823.04,742.47
14,0.3133,0.8016,0.3981,0.4993,4271.00,15869.87,750.42
15,0.3055,0.8204,0.3993,0.4909,4268.12,15862.32,758.39
16,0.2984,0.8394,0.3903,0.4996,4232.03,15718.36,758.34
17,0.2902,0.8279,0.4046,0.4682,4309.18,15907.52,751.09
18,0.2748,0.8631,0.3837,0.4782,4253.19,15796.66,745.97
19,0.2248,0.8677,0.3336,0.4621,4257.73,15817.29,752.09
20,0.1878,0.7893,0.2959,0.4105,4276.62,15887.06,744.47
21,0.1316,0.8218,0.2584,0.4316,4262.63,15839.90,754.02
22,0.1067,0.8440,0.2706,0.3764,4282.47,15915.90,753.48
23,0.0942,0.8558,0.2507,0.4536,4287.60,15935.56,759.50
24,0.0894,0.8579,0.2387,0.5013,4264.90,15843.98,766.00
